DATA,TIPO_REFEICAO,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL,DIA_SEMANA,DEMANDA
2024-05-27,almoço,103,0,0,908,2724,1011,2724,1,NORMAL
2024-05-27,jantar,144,0,0,1609,4827,1753,4827,1,NORMAL
2024-05-28,almoço,100,0,0,839,2517,939,2517,2,NORMAL
2024-05-28,jantar,157,0,0,1619,4857,1776,4857,2,NORMAL
2024-05-29,almoço,89,1,15.15,696,2088,786,2103.15,3,NORMAL
2024-05-29,jantar,134,1,15.15,1357,4071,1492,4086.15,3,NORMAL
2024-06-03,almoço,113,1,15.15,915,2745,1029,2760.15,1,NORMAL
2024-06-03,jantar,130,0,0,1340,4020,1470,4020,1,NORMAL
2024-06-04,almoço,76,1,15.15,648,1944,725,1959.15,2,BAIXA
2024-06-04,jantar,174,0,0,1766,5298,1940,5298,2,ALTA
2024-06-05,almoço,101,0,0,1014,3042,1115,3042,3,NORMAL
2024-06-05,jantar,158,1,15.15,1539,4617,1698,4632.15,3,NORMAL
2024-06-06,almoço,88,0,0,766,2298,854,2298,4,NORMAL
2024-06-06,jantar,143,0,0,1528,4584,1671,4584,4,NORMAL
2024-06-07,almoço,79,0,0,582,1746,661,1746,5,NORMAL
2024-06-07,jantar,110,0,0,1119,3357,1229,3357,5,NORMAL
2024-06-08,jantar,75,1,15.15,669,2007,745,2022.15,6,NORMAL
2024-06-10,almoço,91,0,0,900,2700,991,2700,1,NORMAL
2024-06-10,jantar,143,1,15.15,1490,4470,1634,4485.15,1,NORMAL
2024-06-11,almoço,129,0,0,939,2817,1068,2817,2,NORMAL
2024-06-11,jantar,145,0,0,1344,4032,1489,4032,2,NORMAL
2024-06-12,almoço,70,0,0,712,2136,782,2136,3,NORMAL
2024-06-12,jantar,140,1,15.15,1484,4452,1625,4467.15,3,NORMAL
2024-06-13,almoço,98,0,0,761,2283,859,2283,4,NORMAL
2024-06-13,jantar,102,0,0,833,2499,935,2499,4,NORMAL
2024-06-14,almoço,62,0,0,475,1425,537,1425,5,NORMAL
2024-06-14,jantar,110,2,30.3,986,2958,1098,2988.3,5,NORMAL
2024-06-15,jantar,84,0,0,550,1650,634,1650,6,NORMAL
2024-06-17,almoço,112,1,15.15,813,2439,926,2454.15,1,NORMAL
2024-06-17,jantar,113,1,15.15,911,2733,1025,2748.15,1,NORMAL
2024-06-18,almoço,89,0,0,596,1788,685,1788,2,BAIXA
2024-06-18,jantar,109,0,0,917,2751,1026,2751,2,NORMAL
2024-06-19,almoço,85,0,0,568,1704,653,1704,3,NORMAL
2024-06-19,jantar,102,1,15.15,861,2583,964,2598.15,3,NORMAL
2024-06-20,almoço,57,0,0,409,1227,466,1227,4,BAIXA
2024-06-20,jantar,109,6,90.9,891,2673,1006,2763.9,4,NORMAL
2024-06-21,almoço,66,0,0,422,1266,488,1266,5,BAIXA
2024-06-21,jantar,113,0,0,895,2685,1008,2685,5,NORMAL
2024-06-22,jantar,81,0,0,516,1548,597,1548,6,BAIXA
2024-06-24,almoço,82,1,15.15,528,1584,611,1599.15,1,BAIXA
2024-06-24,jantar,97,2,30.3,738,2214,837,2244.3,1,BAIXA
2024-06-25,almoço,91,0,0,597,1791,688,1791,2,BAIXA
2024-06-25,jantar,112,0,0,848,2544,960,2544,2,NORMAL
2024-06-26,almoço,90,0,0,560,1680,650,1680,3,BAIXA
2024-06-26,jantar,126,4,60.6,1037,3111,1167,3171.6,3,NORMAL
2024-06-27,almoço,81,1,15.15,480,1440,562,1455.15,4,BAIXA
2024-06-27,jantar,102,0,0,746,2238,848,2238,4,NORMAL
